000217 华安黄金ETF联接C 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/08/22	1.0000	1.0000	1.0000	1.0000	0	0.00
2013/08/23	1.0000	1.0000	1.0000	1.0000	0	0.00
2013/08/30	0.9990	0.9990	0.9990	0.9990	0	0.00
2013/09/06	0.9950	0.9950	0.9950	0.9950	0	0.00
2013/09/09	0.9980	0.9980	0.9980	0.9980	0	0.00
2013/09/10	0.9950	0.9950	0.9950	0.9950	0	0.00
2013/09/11	0.9930	0.9930	0.9930	0.9930	0	0.00
2013/09/12	0.9850	0.9850	0.9850	0.9850	0	0.00
2013/09/13	0.9740	0.9740	0.9740	0.9740	0	0.00
2013/09/16	0.9760	0.9760	0.9760	0.9760	0	0.00
2013/09/17	0.9720	0.9720	0.9720	0.9720	0	0.00
2013/09/18	0.9650	0.9650	0.9650	0.9650	0	0.00
2013/09/23	0.9750	0.9750	0.9750	0.9750	0	0.00
2013/09/24	0.9730	0.9730	0.9730	0.9730	0	0.00
2013/09/25	0.9720	0.9720	0.9720	0.9720	0	0.00
2013/09/26	0.9780	0.9780	0.9780	0.9780	0	0.00
2013/09/27	0.9760	0.9760	0.9760	0.9760	0	0.00
2013/09/30	0.9820	0.9820	0.9820	0.9820	0	0.00
2013/10/08	0.9740	0.9740	0.9740	0.9740	0	0.00
2013/10/09	0.9710	0.9710	0.9710	0.9710	0	0.00
2013/10/10	0.9650	0.9650	0.9650	0.9650	0	0.00
2013/10/11	0.9590	0.9590	0.9590	0.9590	0	0.00
2013/10/14	0.9510	0.9510	0.9510	0.9510	0	0.00
2013/10/15	0.9450	0.9450	0.9450	0.9450	0	0.00
2013/10/16	0.9500	0.9500	0.9500	0.9500	0	0.00
2013/10/17	0.9470	0.9470	0.9470	0.9470	0	0.00
2013/10/18	0.9660	0.9660	0.9660	0.9660	0	0.00
2013/10/21	0.9680	0.9680	0.9680	0.9680	0	0.00
2013/10/22	0.9640	0.9640	0.9640	0.9640	0	0.00
2013/10/23	0.9730	0.9730	0.9730	0.9730	0	0.00
2013/10/24	0.9730	0.9730	0.9730	0.9730	0	0.00
2013/10/25	0.9740	0.9740	0.9740	0.9740	0	0.00
2013/10/28	0.9780	0.9780	0.9780	0.9780	0	0.00
2013/10/29	0.9780	0.9780	0.9780	0.9780	0	0.00
2013/10/30	0.9770	0.9770	0.9770	0.9770	0	0.00
2013/10/31	0.9720	0.9720	0.9720	0.9720	0	0.00
2013/11/01	0.9660	0.9660	0.9660	0.9660	0	0.00
2013/11/04	0.9590	0.9590	0.9590	0.9590	0	0.00
2013/11/05	0.9600	0.9600	0.9600	0.9600	0	0.00
2013/11/06	0.9580	0.9580	0.9580	0.9580	0	0.00
2013/11/07	0.9610	0.9610	0.9610	0.9610	0	0.00
2013/11/08	0.9550	0.9550	0.9550	0.9550	0	0.00
2013/11/11	0.9410	0.9410	0.9410	0.9410	0	0.00
2013/11/12	0.9360	0.9360	0.9360	0.9360	0	0.00
2013/11/13	0.9330	0.9330	0.9330	0.9330	0	0.00
2013/11/14	0.9400	0.9400	0.9400	0.9400	0	0.00
2013/11/15	0.9400	0.9400	0.9400	0.9400	0	0.00
2013/11/18	0.9400	0.9400	0.9400	0.9400	0	0.00
2013/11/19	0.9320	0.9320	0.9320	0.9320	0	0.00
2013/11/20	0.9330	0.9330	0.9330	0.9330	0	0.00
2013/11/21	0.9150	0.9150	0.9150	0.9150	0	0.00
2013/11/22	0.9130	0.9130	0.9130	0.9130	0	0.00
2013/11/25	0.9050	0.9050	0.9050	0.9050	0	0.00
2013/11/26	0.9190	0.9190	0.9190	0.9190	0	0.00
2013/11/27	0.9140	0.9140	0.9140	0.9140	0	0.00
2013/11/28	0.9100	0.9100	0.9100	0.9100	0	0.00
2013/11/29	0.9100	0.9100	0.9100	0.9100	0	0.00
2013/12/02	0.9140	0.9140	0.9140	0.9140	0	0.00
2013/12/03	0.9010	0.9010	0.9010	0.9010	0	0.00
2013/12/04	0.8970	0.8970	0.8970	0.8970	0	0.00
2013/12/05	0.9060	0.9060	0.9060	0.9060	0	0.00
2013/12/06	0.9060	0.9060	0.9060	0.9060	0	0.00
2013/12/09	0.9080	0.9080	0.9080	0.9080	0	0.00
2013/12/10	0.9110	0.9110	0.9110	0.9110	0	0.00
2013/12/11	0.9180	0.9180	0.9180	0.9180	0	0.00
2013/12/12	0.9150	0.9150	0.9150	0.9150	0	0.00
2013/12/13	0.9010	0.9010	0.9010	0.9010	0	0.00
2013/12/16	0.9030	0.9030	0.9030	0.9030	0	0.00
2013/12/17	0.9130	0.9130	0.9130	0.9130	0	0.00
2013/12/18	0.9040	0.9040	0.9040	0.9040	0	0.00
2013/12/19	0.8970	0.8970	0.8970	0.8970	0	0.00
2013/12/20	0.8800	0.8800	0.8800	0.8800	0	0.00
2013/12/23	0.8890	0.8890	0.8890	0.8890	0	0.00
2013/12/24	0.8840	0.8840	0.8840	0.8840	0	0.00
2013/12/25	0.8890	0.8890	0.8890	0.8890	0	0.00
2013/12/26	0.8900	0.8900	0.8900	0.8900	0	0.00
2013/12/27	0.8940	0.8940	0.8940	0.8940	0	0.00
2013/12/30	0.8880	0.8880	0.8880	0.8880	0	0.00
2013/12/31	0.8800	0.8800	0.8800	0.8800	0	0.00
2014/01/02	0.9010	0.9010	0.9010	0.9010	0	0.00
2014/01/03	0.9060	0.9060	0.9060	0.9060	0	0.00
2014/01/06	0.9120	0.9120	0.9120	0.9120	0	0.00
2014/01/07	0.9130	0.9130	0.9130	0.9130	0	0.00
2014/01/08	0.9000	0.9000	0.9000	0.9000	0	0.00
2014/01/09	0.8990	0.8990	0.8990	0.8990	0	0.00
2014/01/10	0.9030	0.9030	0.9030	0.9030	0	0.00
2014/01/13	0.9160	0.9160	0.9160	0.9160	0	0.00
2014/01/14	0.9150	0.9150	0.9150	0.9150	0	0.00
2014/01/15	0.9070	0.9070	0.9070	0.9070	0	0.00
2014/01/16	0.9080	0.9080	0.9080	0.9080	0	0.00
2014/01/17	0.9120	0.9120	0.9120	0.9120	0	0.00
2014/01/20	0.9170	0.9170	0.9170	0.9170	0	0.00
2014/01/21	0.9130	0.9130	0.9130	0.9130	0	0.00
2014/01/22	0.9060	0.9060	0.9060	0.9060	0	0.00
2014/01/23	0.9040	0.9040	0.9040	0.9040	0	0.00
2014/01/24	0.9170	0.9170	0.9170	0.9170	0	0.00
2014/01/27	0.9200	0.9200	0.9200	0.9200	0	0.00
2014/01/28	0.9140	0.9140	0.9140	0.9140	0	0.00
2014/01/29	0.9140	0.9140	0.9140	0.9140	0	0.00
2014/01/30	0.9150	0.9150	0.9150	0.9150	0	0.00
2014/02/07	0.9220	0.9220	0.9220	0.9220	0	0.00
2014/02/10	0.9290	0.9290	0.9290	0.9290	0	0.00
2014/02/11	0.9330	0.9330	0.9330	0.9330	0	0.00
2014/02/12	0.9350	0.9350	0.9350	0.9350	0	0.00
2014/02/13	0.9350	0.9350	0.9350	0.9350	0	0.00
2014/02/14	0.9510	0.9510	0.9510	0.9510	0	0.00
2014/02/17	0.9630	0.9630	0.9630	0.9630	0	0.00
2014/02/18	0.9560	0.9560	0.9560	0.9560	0	0.00
2014/02/19	0.9570	0.9570	0.9570	0.9570	0	0.00
2014/02/20	0.9540	0.9540	0.9540	0.9540	0	0.00
2014/02/21	0.9610	0.9610	0.9610	0.9610	0	0.00
2014/02/24	0.9650	0.9650	0.9650	0.9650	0	0.00
2014/02/25	0.9710	0.9710	0.9710	0.9710	0	0.00
2014/02/26	0.9820	0.9820	0.9820	0.9820	0	0.00
2014/02/27	0.9680	0.9680	0.9680	0.9680	0	0.00
2014/02/28	0.9730	0.9730	0.9730	0.9730	0	0.00
2014/03/03	0.9850	0.9850	0.9850	0.9850	0	0.00
2014/03/04	0.9780	0.9780	0.9780	0.9780	0	0.00
2014/03/05	0.9740	0.9740	0.9740	0.9740	0	0.00
2014/03/06	0.9740	0.9740	0.9740	0.9740	0	0.00
2014/03/07	0.9820	0.9820	0.9820	0.9820	0	0.00
2014/03/10	0.9720	0.9720	0.9720	0.9720	0	0.00
2014/03/11	0.9790	0.9790	0.9790	0.9790	0	0.00
2014/03/12	0.9890	0.9890	0.9890	0.9890	0	0.00
2014/03/13	0.9980	0.9980	0.9980	0.9980	0	0.00
2014/03/14	0.9970	0.9970	0.9970	0.9970	0	0.00
2014/03/17	1.0100	1.0100	1.0100	1.0100	0	0.00
2014/03/18	0.9950	0.9950	0.9950	0.9950	0	0.00
2014/03/19	0.9920	0.9920	0.9920	0.9920	0	0.00
2014/03/20	0.9820	0.9820	0.9820	0.9820	0	0.00
2014/03/21	0.9810	0.9810	0.9810	0.9810	0	0.00
2014/03/24	0.9760	0.9760	0.9760	0.9760	0	0.00
2014/03/25	0.9660	0.9660	0.9660	0.9660	0	0.00
2014/03/26	0.9690	0.9690	0.9690	0.9690	0	0.00
2014/03/27	0.9600	0.9600	0.9600	0.9600	0	0.00
2014/03/28	0.9570	0.9570	0.9570	0.9570	0	0.00
2014/03/31	0.9540	0.9540	0.9540	0.9540	0	0.00
2014/04/01	0.9490	0.9490	0.9490	0.9490	0	0.00
2014/04/02	0.9490	0.9490	0.9490	0.9490	0	0.00
2014/04/03	0.9520	0.9520	0.9520	0.9520	0	0.00
2014/04/04	0.9540	0.9540	0.9540	0.9540	0	0.00
2014/04/08	0.9660	0.9660	0.9660	0.9660	0	0.00
2014/04/09	0.9660	0.9660	0.9660	0.9660	0	0.00
2014/04/10	0.9730	0.9730	0.9730	0.9730	0	0.00
2014/04/11	0.9710	0.9710	0.9710	0.9710	0	0.00
2014/04/14	0.9790	0.9790	0.9790	0.9790	0	0.00
2014/04/15	0.9700	0.9700	0.9700	0.9700	0	0.00
2014/04/16	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/04/17	0.9590	0.9590	0.9590	0.9590	0	0.00
2014/04/18	0.9590	0.9590	0.9590	0.9590	0	0.00
2014/04/21	0.9530	0.9530	0.9530	0.9530	0	0.00
2014/04/22	0.9560	0.9560	0.9560	0.9560	0	0.00
2014/04/23	0.9540	0.9540	0.9540	0.9540	0	0.00
2014/04/24	0.9540	0.9540	0.9540	0.9540	0	0.00
2014/04/25	0.9600	0.9600	0.9600	0.9600	0	0.00
2014/04/28	0.9680	0.9680	0.9680	0.9680	0	0.00
2014/04/29	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/04/30	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/05/05	0.9710	0.9710	0.9710	0.9710	0	0.00
2014/05/06	0.9720	0.9720	0.9720	0.9720	0	0.00
2014/05/07	0.9710	0.9710	0.9710	0.9710	0	0.00
2014/05/08	0.9580	0.9580	0.9580	0.9580	0	0.00
2014/05/09	0.9580	0.9580	0.9580	0.9580	0	0.00
2014/05/12	0.9580	0.9580	0.9580	0.9580	0	0.00
2014/05/13	0.9600	0.9600	0.9600	0.9600	0	0.00
2014/05/14	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/05/15	0.9650	0.9650	0.9650	0.9650	0	0.00
2014/05/16	0.9600	0.9600	0.9600	0.9600	0	0.00
2014/05/19	0.9640	0.9640	0.9640	0.9640	0	0.00
2014/05/20	0.9610	0.9610	0.9610	0.9610	0	0.00
2014/05/21	0.9610	0.9610	0.9610	0.9610	0	0.00
2014/05/22	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/05/23	0.9620	0.9620	0.9620	0.9620	0	0.00
2014/05/26	0.9600	0.9600	0.9600	0.9600	0	0.00
2014/05/27	0.9550	0.9550	0.9550	0.9550	0	0.00
2014/05/28	0.9440	0.9440	0.9440	0.9440	0	0.00
2014/05/29	0.9340	0.9340	0.9340	0.9340	0	0.00
2014/05/30	0.9360	0.9360	0.9360	0.9360	0	0.00
2014/06/03	0.9300	0.9300	0.9300	0.9300	0	0.00
2014/06/04	0.9300	0.9300	0.9300	0.9300	0	0.00
2014/06/05	0.9280	0.9280	0.9280	0.9280	0	0.00
2014/06/06	0.9360	0.9360	0.9360	0.9360	0	0.00
2014/06/09	0.9340	0.9340	0.9340	0.9340	0	0.00
2014/06/10	0.9320	0.9320	0.9320	0.9320	0	0.00
2014/06/11	0.9350	0.9350	0.9350	0.9350	0	0.00
2014/06/12	0.9340	0.9340	0.9340	0.9340	0	0.00
2014/06/13	0.9420	0.9420	0.9420	0.9420	0	0.00
2014/06/16	0.9500	0.9500	0.9500	0.9500	0	0.00
2014/06/17	0.9400	0.9400	0.9400	0.9400	0	0.00
2014/06/18	0.9420	0.9420	0.9420	0.9420	0	0.00
2014/06/19	0.9480	0.9480	0.9480	0.9480	0	0.00
2014/06/20	0.9700	0.9700	0.9700	0.9700	0	0.00
2014/06/23	0.9750	0.9750	0.9750	0.9750	0	0.00
2014/06/24	0.9740	0.9740	0.9740	0.9740	0	0.00
2014/06/25	0.9720	0.9720	0.9720	0.9720	0	0.00
2014/06/26	0.9710	0.9710	0.9710	0.9710	0	0.00
2014/06/27	0.9720	0.9720	0.9720	0.9720	0	0.00
2014/06/30	0.9680	0.9680	0.9680	0.9680	0	0.00
2014/07/01	0.9750	0.9750	0.9750	0.9750	0	0.00
2014/07/02	0.9770	0.9770	0.9770	0.9770	0	0.00
2014/07/03	0.9750	0.9750	0.9750	0.9750	0	0.00
2014/07/04	0.9750	0.9750	0.9750	0.9750	0	0.00
2014/07/07	0.9680	0.9680	0.9680	0.9680	0	0.00
2014/07/08	0.9720	0.9720	0.9720	0.9720	0	0.00
2014/07/09	0.9750	0.9750	0.9750	0.9750	0	0.00
2014/07/10	0.9780	0.9780	0.9780	0.9780	0	0.00
2014/07/11	0.9860	0.9860	0.9860	0.9860	0	0.00
2014/07/14	0.9730	0.9730	0.9730	0.9730	0	0.00
2014/07/15	0.9680	0.9680	0.9680	0.9680	0	0.00
2014/07/16	0.9590	0.9590	0.9590	0.9590	0	0.00
2014/07/17	0.9630	0.9630	0.9630	0.9630	0	0.00
2014/07/18	0.9670	0.9670	0.9670	0.9670	0	0.00
2014/07/21	0.9710	0.9710	0.9710	0.9710	0	0.00
