002190 农银新能源混合A 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/04/01	0.9999	0.9999	0.9999	0.9999	0	0.00
2016/04/08	0.9998	0.9998	0.9998	0.9998	0	0.00
2016/04/15	0.9998	0.9998	0.9998	0.9998	0	0.00
2016/04/22	0.9945	0.9945	0.9945	0.9945	0	0.00
2016/04/29	1.0027	1.0027	1.0027	1.0027	0	0.00
2016/05/06	1.0011	1.0011	1.0011	1.0011	0	0.00
2016/05/13	1.0031	1.0031	1.0031	1.0031	0	0.00
2016/05/20	1.0072	1.0072	1.0072	1.0072	0	0.00
2016/05/27	1.0005	1.0005	1.0005	1.0005	0	0.00
2016/06/03	1.0071	1.0071	1.0071	1.0071	0	0.00
2016/06/08	1.0139	1.0139	1.0139	1.0139	0	0.00
2016/06/17	1.0239	1.0239	1.0239	1.0239	0	0.00
2016/06/24	1.0253	1.0253	1.0253	1.0253	0	0.00
2016/06/29	1.0264	1.0264	1.0264	1.0264	0	0.00
2016/06/30	1.0218	1.0218	1.0218	1.0218	0	0.00
2016/07/01	1.0227	1.0227	1.0227	1.0227	0	0.00
2016/07/04	1.0305	1.0305	1.0305	1.0305	0	0.00
2016/07/05	1.0371	1.0371	1.0371	1.0371	0	0.00
2016/07/06	1.0513	1.0513	1.0513	1.0513	0	0.00
2016/07/07	1.0591	1.0591	1.0591	1.0591	0	0.00
2016/07/08	1.0461	1.0461	1.0461	1.0461	0	0.00
2016/07/11	1.0491	1.0491	1.0491	1.0491	0	0.00
2016/07/12	1.0458	1.0458	1.0458	1.0458	0	0.00
2016/07/13	1.0427	1.0427	1.0427	1.0427	0	0.00
2016/07/14	1.0400	1.0400	1.0400	1.0400	0	0.00
2016/07/15	1.0387	1.0387	1.0387	1.0387	0	0.00
2016/07/18	1.0383	1.0383	1.0383	1.0383	0	0.00
2016/07/19	1.0364	1.0364	1.0364	1.0364	0	0.00
2016/07/20	1.0342	1.0342	1.0342	1.0342	0	0.00
2016/07/21	1.0336	1.0336	1.0336	1.0336	0	0.00
2016/07/22	1.0162	1.0162	1.0162	1.0162	0	0.00
2016/07/25	1.0112	1.0112	1.0112	1.0112	0	0.00
2016/07/26	1.0215	1.0215	1.0215	1.0215	0	0.00
2016/07/27	1.0009	1.0009	1.0009	1.0009	0	0.00
2016/07/28	1.0042	1.0042	1.0042	1.0042	0	0.00
2016/07/29	1.0024	1.0024	1.0024	1.0024	0	0.00
2016/08/01	1.0031	1.0031	1.0031	1.0031	0	0.00
2016/08/02	1.0095	1.0095	1.0095	1.0095	0	0.00
2016/08/03	1.0128	1.0128	1.0128	1.0128	0	0.00
2016/08/04	1.0101	1.0101	1.0101	1.0101	0	0.00
2016/08/05	1.0082	1.0082	1.0082	1.0082	0	0.00
2016/08/08	1.0033	1.0033	1.0033	1.0033	0	0.00
2016/08/09	1.0045	1.0045	1.0045	1.0045	0	0.00
2016/08/10	1.0095	1.0095	1.0095	1.0095	0	0.00
2016/08/11	0.9993	0.9993	0.9993	0.9993	0	0.00
2016/08/12	1.0059	1.0059	1.0059	1.0059	0	0.00
2016/08/15	1.0201	1.0201	1.0201	1.0201	0	0.00
2016/08/16	1.0269	1.0269	1.0269	1.0269	0	0.00
2016/08/17	1.0229	1.0229	1.0229	1.0229	0	0.00
2016/08/18	1.0206	1.0206	1.0206	1.0206	0	0.00
2016/08/19	1.0176	1.0176	1.0176	1.0176	0	0.00
2016/08/22	1.0086	1.0086	1.0086	1.0086	0	0.00
2016/08/23	1.0094	1.0094	1.0094	1.0094	0	0.00
2016/08/24	1.0095	1.0095	1.0095	1.0095	0	0.00
2016/08/25	1.0066	1.0066	1.0066	1.0066	0	0.00
2016/08/26	1.0086	1.0086	1.0086	1.0086	0	0.00
2016/08/29	1.0057	1.0057	1.0057	1.0057	0	0.00
2016/08/30	1.0027	1.0027	1.0027	1.0027	0	0.00
2016/08/31	1.0042	1.0042	1.0042	1.0042	0	0.00
2016/09/01	1.0002	1.0002	1.0002	1.0002	0	0.00
2016/09/02	0.9940	0.9940	0.9940	0.9940	0	0.00
2016/09/05	1.0021	1.0021	1.0021	1.0021	0	0.00
2016/09/06	1.0121	1.0121	1.0121	1.0121	0	0.00
2016/09/07	1.0122	1.0122	1.0122	1.0122	0	0.00
2016/09/08	1.0146	1.0146	1.0146	1.0146	0	0.00
2016/09/09	1.0065	1.0065	1.0065	1.0065	0	0.00
2016/09/12	0.9895	0.9895	0.9895	0.9895	0	0.00
2016/09/13	0.9898	0.9898	0.9898	0.9898	0	0.00
2016/09/14	0.9863	0.9863	0.9863	0.9863	0	0.00
2016/09/19	0.9929	0.9929	0.9929	0.9929	0	0.00
