014847 博时恒乐债券C 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/28	0.9932	0.9932	0.9932	0.9932	0	0.00
2022/04/29	0.9932	0.9932	0.9932	0.9932	0	0.00
2022/05/06	0.9935	0.9935	0.9935	0.9935	0	0.00
2022/05/13	0.9942	0.9942	0.9942	0.9942	0	0.00
2022/05/17	0.9945	0.9945	0.9945	0.9945	0	0.00
2022/05/18	0.9946	0.9946	0.9946	0.9946	0	0.00
2022/05/19	0.9949	0.9949	0.9949	0.9949	0	0.00
2022/05/20	0.9950	0.9950	0.9950	0.9950	0	0.00
2022/05/23	0.9956	0.9956	0.9956	0.9956	0	0.00
2022/05/24	0.9964	0.9964	0.9964	0.9964	0	0.00
2022/05/25	0.9970	0.9970	0.9970	0.9970	0	0.00
2022/05/26	0.9999	0.9999	0.9999	0.9999	0	0.00
2022/05/27	1.0002	1.0002	1.0002	1.0002	0	0.00
2022/05/30	0.9992	0.9992	0.9992	0.9992	0	0.00
2022/05/31	0.9976	0.9976	0.9976	0.9976	0	0.00
2022/06/01	0.9970	0.9970	0.9970	0.9970	0	0.00
2022/06/02	0.9965	0.9965	0.9965	0.9965	0	0.00
2022/06/06	0.9964	0.9964	0.9964	0.9964	0	0.00
2022/06/07	0.9971	0.9971	0.9971	0.9971	0	0.00
2022/06/08	0.9973	0.9973	0.9973	0.9973	0	0.00
2022/06/09	0.9982	0.9982	0.9982	0.9982	0	0.00
2022/06/10	0.9988	0.9988	0.9988	0.9988	0	0.00
2022/06/13	0.9980	0.9980	0.9980	0.9980	0	0.00
2022/06/14	0.9981	0.9981	0.9981	0.9981	0	0.00
2022/06/15	0.9986	0.9986	0.9986	0.9986	0	0.00
2022/06/16	0.9988	0.9988	0.9988	0.9988	0	0.00
2022/06/17	0.9998	0.9998	0.9998	0.9998	0	0.00
2022/06/20	0.9992	0.9992	0.9992	0.9992	0	0.00
2022/06/21	0.9995	0.9995	0.9995	0.9995	0	0.00
2022/06/22	0.9992	0.9992	0.9992	0.9992	0	0.00
2022/06/23	0.9998	0.9998	0.9998	0.9998	0	0.00
2022/06/24	0.9990	0.9990	0.9990	0.9990	0	0.00
2022/06/27	0.9979	0.9979	0.9979	0.9979	0	0.00
2022/06/28	0.9970	0.9970	0.9970	0.9970	0	0.00
2022/06/29	0.9981	0.9981	0.9981	0.9981	0	0.00
2022/06/30	1.0001	1.0001	1.0001	1.0001	0	0.00
2022/07/01	1.0001	1.0001	1.0001	1.0001	0	0.00
2022/07/04	0.9994	0.9994	0.9994	0.9994	0	0.00
2022/07/05	0.9992	0.9992	0.9992	0.9992	0	0.00
2022/07/06	0.9993	0.9993	0.9993	0.9993	0	0.00
2022/07/07	0.9995	0.9995	0.9995	0.9995	0	0.00
2022/07/08	0.9997	0.9997	0.9997	0.9997	0	0.00
2022/07/11	1.0009	1.0009	1.0009	1.0009	0	0.00
2022/07/12	1.0021	1.0021	1.0021	1.0021	0	0.00
2022/07/13	1.0024	1.0024	1.0024	1.0024	0	0.00
2022/07/14	1.0026	1.0026	1.0026	1.0026	0	0.00
2022/07/15	1.0026	1.0026	1.0026	1.0026	0	0.00
2022/07/18	1.0033	1.0033	1.0033	1.0033	0	0.00
2022/07/19	1.0037	1.0037	1.0037	1.0037	0	0.00
2022/07/20	1.0052	1.0052	1.0052	1.0052	0	0.00
2022/07/21	1.0054	1.0054	1.0054	1.0054	0	0.00
2022/07/22	1.0047	1.0047	1.0047	1.0047	0	0.00
2022/07/25	1.0057	1.0057	1.0057	1.0057	0	0.00
2022/07/26	1.0072	1.0072	1.0072	1.0072	0	0.00
2022/07/27	1.0074	1.0074	1.0074	1.0074	0	0.00
2022/07/28	1.0070	1.0070	1.0070	1.0070	0	0.00
2022/07/29	1.0093	1.0093	1.0093	1.0093	0	0.00
2022/08/01	1.0105	1.0105	1.0105	1.0105	0	0.00
2022/08/02	1.0112	1.0112	1.0112	1.0112	0	0.00
2022/08/03	1.0114	1.0114	1.0114	1.0114	0	0.00
2022/08/04	1.0120	1.0120	1.0120	1.0120	0	0.00
2022/08/05	1.0127	1.0127	1.0127	1.0127	0	0.00
2022/08/08	1.0122	1.0122	1.0122	1.0122	0	0.00
2022/08/09	1.0122	1.0122	1.0122	1.0122	0	0.00
2022/08/10	1.0120	1.0120	1.0120	1.0120	0	0.00
2022/08/11	1.0133	1.0133	1.0133	1.0133	0	0.00
2022/08/12	1.0141	1.0141	1.0141	1.0141	0	0.00
2022/08/15	1.0170	1.0170	1.0170	1.0170	0	0.00
2022/08/16	1.0177	1.0177	1.0177	1.0177	0	0.00
2022/08/17	1.0187	1.0187	1.0187	1.0187	0	0.00
