020840 南方半导体指数C 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/29	1.0000	1.0000	1.0000	1.0000	0	0.00
2024/04/03	0.9996	0.9996	0.9996	0.9996	0	0.00
2024/04/11	0.9885	0.9885	0.9885	0.9885	0	0.00
2024/04/12	0.9868	0.9868	0.9868	0.9868	0	0.00
2024/04/15	1.0011	1.0011	1.0011	1.0011	0	0.00
2024/04/16	0.9882	0.9882	0.9882	0.9882	0	0.00
2024/04/17	1.0050	1.0050	1.0050	1.0050	0	0.00
2024/04/18	0.9948	0.9948	0.9948	0.9948	0	0.00
2024/04/19	0.9651	0.9651	0.9651	0.9651	0	0.00
2024/04/22	0.9648	0.9648	0.9648	0.9648	0	0.00
2024/04/23	0.9688	0.9688	0.9688	0.9688	0	0.00
2024/04/24	0.9821	0.9821	0.9821	0.9821	0	0.00
2024/04/25	0.9862	0.9862	0.9862	0.9862	0	0.00
2024/04/26	1.0082	1.0082	1.0082	1.0082	0	0.00
2024/04/29	1.0506	1.0506	1.0506	1.0506	0	0.00
2024/04/30	1.0341	1.0341	1.0341	1.0341	0	0.00
2024/05/06	1.0411	1.0411	1.0411	1.0411	0	0.00
2024/05/07	1.0333	1.0333	1.0333	1.0333	0	0.00
2024/05/08	1.0197	1.0197	1.0197	1.0197	0	0.00
2024/05/09	1.0375	1.0375	1.0375	1.0375	0	0.00
2024/05/10	1.0067	1.0067	1.0067	1.0067	0	0.00
2024/05/13	0.9922	0.9922	0.9922	0.9922	0	0.00
2024/05/14	0.9907	0.9907	0.9907	0.9907	0	0.00
2024/05/15	0.9810	0.9810	0.9810	0.9810	0	0.00
2024/05/16	0.9835	0.9835	0.9835	0.9835	0	0.00
2024/05/17	0.9943	0.9943	0.9943	0.9943	0	0.00
2024/05/20	0.9941	0.9941	0.9941	0.9941	0	0.00
2024/05/21	0.9955	0.9955	0.9955	0.9955	0	0.00
2024/05/22	0.9925	0.9925	0.9925	0.9925	0	0.00
2024/05/23	0.9805	0.9805	0.9805	0.9805	0	0.00
2024/05/24	0.9594	0.9594	0.9594	0.9594	0	0.00
2024/05/27	0.9952	0.9952	0.9952	0.9952	0	0.00
2024/05/28	0.9945	0.9945	0.9945	0.9945	0	0.00
2024/05/29	0.9849	0.9849	0.9849	0.9849	0	0.00
2024/05/30	1.0020	1.0020	1.0020	1.0020	0	0.00
2024/05/31	0.9924	0.9924	0.9924	0.9924	0	0.00
2024/06/03	1.0203	1.0203	1.0203	1.0203	0	0.00
2024/06/04	1.0255	1.0255	1.0255	1.0255	0	0.00
2024/06/05	1.0322	1.0322	1.0322	1.0322	0	0.00
2024/06/06	1.0380	1.0380	1.0380	1.0380	0	0.00
2024/06/07	1.0412	1.0412	1.0412	1.0412	0	0.00
2024/06/11	1.0816	1.0816	1.0816	1.0816	0	0.00
2024/06/12	1.0743	1.0743	1.0743	1.0743	0	0.00
2024/06/13	1.0790	1.0790	1.0790	1.0790	0	0.00
2024/06/14	1.0658	1.0658	1.0658	1.0658	0	0.00
2024/06/17	1.0814	1.0814	1.0814	1.0814	0	0.00
2024/06/18	1.0801	1.0801	1.0801	1.0801	0	0.00
2024/06/19	1.0789	1.0789	1.0789	1.0789	0	0.00
2024/06/20	1.0830	1.0830	1.0830	1.0830	0	0.00
2024/06/21	1.0865	1.0865	1.0865	1.0865	0	0.00
2024/06/24	1.0595	1.0595	1.0595	1.0595	0	0.00
2024/06/25	1.0192	1.0192	1.0192	1.0192	0	0.00
2024/06/26	1.0358	1.0358	1.0358	1.0358	0	0.00
2024/06/27	1.0189	1.0189	1.0189	1.0189	0	0.00
2024/06/28	1.0168	1.0168	1.0168	1.0168	0	0.00
2024/06/30	1.0167	1.0167	1.0167	1.0167	0	0.00
2024/07/01	1.0193	1.0193	1.0193	1.0193	0	0.00
2024/07/02	1.0047	1.0047	1.0047	1.0047	0	0.00
2024/07/03	1.0210	1.0210	1.0210	1.0210	0	0.00
2024/07/04	1.0059	1.0059	1.0059	1.0059	0	0.00
2024/07/05	1.0039	1.0039	1.0039	1.0039	0	0.00
2024/07/08	1.0048	1.0048	1.0048	1.0048	0	0.00
2024/07/09	1.0363	1.0363	1.0363	1.0363	0	0.00
2024/07/10	1.0297	1.0297	1.0297	1.0297	0	0.00
2024/07/11	1.0307	1.0307	1.0307	1.0307	0	0.00
2024/07/12	1.0465	1.0465	1.0465	1.0465	0	0.00
2024/07/15	1.0569	1.0569	1.0569	1.0569	0	0.00
2024/07/16	1.0806	1.0806	1.0806	1.0806	0	0.00
2024/07/17	1.0828	1.0828	1.0828	1.0828	0	0.00
2024/07/18	1.0999	1.0999	1.0999	1.0999	0	0.00
2024/07/19	1.1124	1.1124	1.1124	1.1124	0	0.00
2024/07/22	1.1103	1.1103	1.1103	1.1103	0	0.00
2024/07/23	1.0590	1.0590	1.0590	1.0590	0	0.00
2024/07/24	1.0425	1.0425	1.0425	1.0425	0	0.00
2024/07/25	1.0350	1.0350	1.0350	1.0350	0	0.00
2024/07/26	1.0498	1.0498	1.0498	1.0498	0	0.00
2024/07/29	1.0336	1.0336	1.0336	1.0336	0	0.00
2024/07/30	1.0456	1.0456	1.0456	1.0456	0	0.00
2024/07/31	1.0868	1.0868	1.0868	1.0868	0	0.00
2024/08/01	1.0908	1.0908	1.0908	1.0908	0	0.00
2024/08/02	1.0677	1.0677	1.0677	1.0677	0	0.00
2024/08/05	1.0155	1.0155	1.0155	1.0155	0	0.00
2024/08/06	1.0247	1.0247	1.0247	1.0247	0	0.00
2024/08/07	1.0139	1.0139	1.0139	1.0139	0	0.00
2024/08/08	1.0252	1.0252	1.0252	1.0252	0	0.00
2024/08/09	1.0195	1.0195	1.0195	1.0195	0	0.00
2024/08/12	1.0155	1.0155	1.0155	1.0155	0	0.00
2024/08/13	1.0230	1.0230	1.0230	1.0230	0	0.00
2024/08/14	1.0024	1.0024	1.0024	1.0024	0	0.00
2024/08/15	1.0078	1.0078	1.0078	1.0078	0	0.00
2024/08/16	1.0062	1.0062	1.0062	1.0062	0	0.00
2024/08/19	1.0011	1.0011	1.0011	1.0011	0	0.00
2024/08/20	0.9898	0.9898	0.9898	0.9898	0	0.00
2024/08/21	0.9852	0.9852	0.9852	0.9852	0	0.00
2024/08/22	0.9695	0.9695	0.9695	0.9695	0	0.00
2024/08/23	0.9572	0.9572	0.9572	0.9572	0	0.00
2024/08/26	0.9571	0.9571	0.9571	0.9571	0	0.00
2024/08/27	0.9507	0.9507	0.9507	0.9507	0	0.00
2024/08/28	0.9558	0.9558	0.9558	0.9558	0	0.00
2024/08/29	0.9667	0.9667	0.9667	0.9667	0	0.00
2024/08/30	0.9965	0.9965	0.9965	0.9965	0	0.00
2024/09/02	0.9588	0.9588	0.9588	0.9588	0	0.00
2024/09/03	0.9636	0.9636	0.9636	0.9636	0	0.00
2024/09/04	0.9591	0.9591	0.9591	0.9591	0	0.00
2024/09/05	0.9598	0.9598	0.9598	0.9598	0	0.00
2024/09/06	0.9422	0.9422	0.9422	0.9422	0	0.00
2024/09/09	0.9396	0.9396	0.9396	0.9396	0	0.00
2024/09/10	0.9505	0.9505	0.9505	0.9505	0	0.00
2024/09/11	0.9486	0.9486	0.9486	0.9486	0	0.00
2024/09/12	0.9377	0.9377	0.9377	0.9377	0	0.00
2024/09/13	0.9254	0.9254	0.9254	0.9254	0	0.00
2024/09/18	0.9258	0.9258	0.9258	0.9258	0	0.00
2024/09/19	0.9276	0.9276	0.9276	0.9276	0	0.00
2024/09/20	0.9179	0.9179	0.9179	0.9179	0	0.00
2024/09/23	0.8998	0.8998	0.8998	0.8998	0	0.00
2024/09/24	0.9329	0.9329	0.9329	0.9329	0	0.00
2024/09/25	0.9336	0.9336	0.9336	0.9336	0	0.00
2024/09/26	0.9700	0.9700	0.9700	0.9700	0	0.00
2024/09/27	1.0407	1.0407	1.0407	1.0407	0	0.00
2024/09/30	1.1950	1.1950	1.1950	1.1950	0	0.00
2024/10/08	1.3686	1.3686	1.3686	1.3686	0	0.00
2024/10/09	1.3793	1.3793	1.3793	1.3793	0	0.00
2024/10/10	1.3196	1.3196	1.3196	1.3196	0	0.00
2024/10/11	1.2407	1.2407	1.2407	1.2407	0	0.00
2024/10/14	1.2740	1.2740	1.2740	1.2740	0	0.00
2024/10/15	1.2518	1.2518	1.2518	1.2518	0	0.00
2024/10/16	1.2289	1.2289	1.2289	1.2289	0	0.00
2024/10/17	1.2291	1.2291	1.2291	1.2291	0	0.00
2024/10/18	1.3723	1.3723	1.3723	1.3723	0	0.00
2024/10/21	1.3931	1.3931	1.3931	1.3931	0	0.00
2024/10/22	1.3753	1.3753	1.3753	1.3753	0	0.00
2024/10/23	1.3546	1.3546	1.3546	1.3546	0	0.00
2024/10/24	1.3565	1.3565	1.3565	1.3565	0	0.00
2024/10/25	1.3687	1.3687	1.3687	1.3687	0	0.00
