022486 国金中证A500增C 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/11/18	1.0000	1.0000	1.0000	1.0000	0	0.00
2024/11/22	0.9858	0.9858	0.9858	0.9858	0	0.00
2024/11/29	1.0026	1.0026	1.0026	1.0026	0	0.00
2024/12/06	1.0167	1.0167	1.0167	1.0167	0	0.00
2024/12/13	1.0125	1.0125	1.0125	1.0125	0	0.00
2024/12/20	1.0049	1.0049	1.0049	1.0049	0	0.00
2024/12/27	1.0121	1.0121	1.0121	1.0121	0	0.00
2024/12/31	0.9986	0.9986	0.9986	0.9986	0	0.00
2025/01/03	0.9593	0.9593	0.9593	0.9593	0	0.00
2025/01/10	0.9477	0.9477	0.9477	0.9477	0	0.00
2025/01/17	0.9740	0.9740	0.9740	0.9740	0	0.00
2025/01/21	0.9748	0.9748	0.9748	0.9748	0	0.00
2025/01/22	0.9668	0.9668	0.9668	0.9668	0	0.00
2025/01/23	0.9677	0.9677	0.9677	0.9677	0	0.00
2025/01/24	0.9743	0.9743	0.9743	0.9743	0	0.00
2025/01/27	0.9745	0.9745	0.9745	0.9745	0	0.00
2025/02/05	0.9707	0.9707	0.9707	0.9707	0	0.00
2025/02/06	0.9838	0.9838	0.9838	0.9838	0	0.00
2025/02/07	0.9952	0.9952	0.9952	0.9952	0	0.00
2025/02/10	0.9997	0.9997	0.9997	0.9997	0	0.00
2025/02/11	0.9959	0.9959	0.9959	0.9959	0	0.00
2025/02/12	1.0031	1.0031	1.0031	1.0031	0	0.00
2025/02/13	1.0007	1.0007	1.0007	1.0007	0	0.00
2025/02/14	1.0077	1.0077	1.0077	1.0077	0	0.00
2025/02/17	1.0104	1.0104	1.0104	1.0104	0	0.00
2025/02/18	1.0008	1.0008	1.0008	1.0008	0	0.00
2025/02/19	1.0083	1.0083	1.0083	1.0083	0	0.00
2025/02/20	1.0059	1.0059	1.0059	1.0059	0	0.00
2025/02/21	1.0146	1.0146	1.0146	1.0146	0	0.00
2025/02/24	1.0165	1.0165	1.0165	1.0165	0	0.00
2025/02/25	1.0079	1.0079	1.0079	1.0079	0	0.00
2025/02/26	1.0149	1.0149	1.0149	1.0149	0	0.00
2025/02/27	1.0192	1.0192	1.0192	1.0192	0	0.00
2025/02/28	1.0051	1.0051	1.0051	1.0051	0	0.00
2025/03/03	1.0072	1.0072	1.0072	1.0072	0	0.00
2025/03/04	1.0086	1.0086	1.0086	1.0086	0	0.00
2025/03/05	1.0113	1.0113	1.0113	1.0113	0	0.00
2025/03/06	1.0257	1.0257	1.0257	1.0257	0	0.00
2025/03/07	1.0230	1.0230	1.0230	1.0230	0	0.00
2025/03/10	1.0207	1.0207	1.0207	1.0207	0	0.00
2025/03/11	1.0245	1.0245	1.0245	1.0245	0	0.00
2025/03/12	1.0211	1.0211	1.0211	1.0211	0	0.00
2025/03/13	1.0186	1.0186	1.0186	1.0186	0	0.00
2025/03/14	1.0383	1.0383	1.0383	1.0383	0	0.00
2025/03/17	1.0375	1.0375	1.0375	1.0375	0	0.00
2025/03/18	1.0396	1.0396	1.0396	1.0396	0	0.00
2025/03/19	1.0398	1.0398	1.0398	1.0398	0	0.00
2025/03/20	1.0340	1.0340	1.0340	1.0340	0	0.00
2025/03/21	1.0246	1.0246	1.0246	1.0246	0	0.00
2025/03/24	1.0271	1.0271	1.0271	1.0271	0	0.00
2025/03/25	1.0307	1.0307	1.0307	1.0307	0	0.00
2025/03/26	1.0310	1.0310	1.0310	1.0310	0	0.00
2025/03/27	1.0309	1.0309	1.0309	1.0309	0	0.00
2025/03/28	1.0236	1.0236	1.0236	1.0236	0	0.00
2025/03/31	1.0148	1.0148	1.0148	1.0148	0	0.00
2025/04/01	1.0187	1.0187	1.0187	1.0187	0	0.00
2025/04/02	1.0182	1.0182	1.0182	1.0182	0	0.00
2025/04/03	1.0160	1.0160	1.0160	1.0160	0	0.00
2025/04/07	0.9488	0.9488	0.9488	0.9488	0	0.00
2025/04/08	0.9654	0.9654	0.9654	0.9654	0	0.00
2025/04/09	0.9749	0.9749	0.9749	0.9749	0	0.00
2025/04/10	0.9871	0.9871	0.9871	0.9871	0	0.00
2025/04/11	0.9926	0.9926	0.9926	0.9926	0	0.00
2025/04/14	0.9984	0.9984	0.9984	0.9984	0	0.00
2025/04/15	0.9975	0.9975	0.9975	0.9975	0	0.00
2025/04/16	0.9935	0.9935	0.9935	0.9935	0	0.00
2025/04/17	0.9952	0.9952	0.9952	0.9952	0	0.00
2025/04/18	0.9982	0.9982	0.9982	0.9982	0	0.00
2025/04/21	1.0109	1.0109	1.0109	1.0109	0	0.00
2025/04/22	1.0075	1.0075	1.0075	1.0075	0	0.00
2025/04/23	1.0149	1.0149	1.0149	1.0149	0	0.00
2025/04/24	1.0123	1.0123	1.0123	1.0123	0	0.00
