159206 卫星ETF永赢 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/03/06	1.0000	1.0000	1.0000	1.0000	0	0.00
2025/03/07	0.9992	0.9992	0.9992	0.9992	0	0.00
2025/03/13	0.9904	0.9904	0.9904	0.9904	0	0.00
2025/03/14	0.9975	0.9975	0.9975	0.9975	0	0.00
2025/03/17	0.9981	0.9981	0.9981	0.9981	0	0.00
2025/03/18	1.0043	1.0043	1.0043	1.0043	0	0.00
2025/03/19	0.9864	0.9864	0.9864	0.9864	0	0.00
2025/03/20	0.9842	0.9842	0.9842	0.9842	0	0.00
2025/03/21	0.9650	0.9650	0.9650	0.9650	0	0.00
2025/03/24	0.9517	0.9517	0.9517	0.9517	0	0.00
2025/03/25	0.9440	0.9440	0.9440	0.9440	0	0.00
2025/03/26	0.9446	0.9446	0.9446	0.9446	0	0.00
2025/03/27	0.9422	0.9422	0.9422	0.9422	0	0.00
2025/03/28	0.9308	0.9308	0.9308	0.9308	0	0.00
2025/03/31	0.9275	0.9275	0.9275	0.9275	0	0.00
2025/04/01	0.9340	0.9340	0.9340	0.9340	0	0.00
2025/04/02	0.9398	0.9398	0.9398	0.9398	0	0.00
2025/04/03	0.9239	0.9239	0.9239	0.9239	0	0.00
2025/04/07	0.8065	0.8065	0.8065	0.8065	0	0.00
2025/04/08	0.8136	0.8136	0.8136	0.8136	0	0.00
2025/04/09	0.8461	0.8461	0.8461	0.8461	0	0.00
2025/04/10	0.8613	0.8613	0.8613	0.8613	0	0.00
2025/04/11	0.8803	0.8803	0.8803	0.8803	0	0.00
2025/04/14	0.8819	0.8819	0.8819	0.8819	0	0.00
2025/04/15	0.8739	0.8739	0.8739	0.8739	0	0.00
2025/04/16	0.8663	0.8663	0.8663	0.8663	0	0.00
2025/04/17	0.8628	0.8628	0.8628	0.8628	0	0.00
2025/04/18	0.8719	0.8719	0.8719	0.8719	0	0.00
2025/04/21	0.8813	0.8813	0.8813	0.8813	0	0.00
2025/04/22	0.8719	0.8719	0.8719	0.8719	0	0.00
2025/04/23	0.8816	0.8816	0.8816	0.8816	0	0.00
2025/04/24	0.8703	0.8703	0.8703	0.8703	0	0.00
2025/04/25	0.8742	0.8742	0.8742	0.8742	0	0.00
2025/04/28	0.8628	0.8628	0.8628	0.8628	0	0.00
2025/04/29	0.8680	0.8680	0.8680	0.8680	0	0.00
2025/04/30	0.8777	0.8777	0.8777	0.8777	0	0.00
2025/05/06	0.9053	0.9053	0.9053	0.9053	0	0.00
2025/05/07	0.9140	0.9140	0.9140	0.9140	0	0.00
2025/05/08	0.9391	0.9391	0.9391	0.9391	0	0.00
2025/05/09	0.9320	0.9320	0.9320	0.9320	0	0.00
2025/05/12	0.9557	0.9557	0.9557	0.9557	0	0.00
2025/05/13	0.9392	0.9392	0.9392	0.9392	0	0.00
2025/05/14	0.9400	0.9400	0.9400	0.9400	0	0.00
2025/05/15	0.9215	0.9215	0.9215	0.9215	0	0.00
2025/05/16	0.9231	0.9231	0.9231	0.9231	0	0.00
2025/05/19	0.9248	0.9248	0.9248	0.9248	0	0.00
2025/05/20	0.9270	0.9270	0.9270	0.9270	0	0.00
2025/05/21	0.9270	0.9270	0.9270	0.9270	0	0.00
2025/05/22	0.9230	0.9230	0.9230	0.9230	0	0.00
2025/05/23	0.9093	0.9093	0.9093	0.9093	0	0.00
2025/05/26	0.9190	0.9190	0.9190	0.9190	0	0.00
2025/05/27	0.9218	0.9218	0.9218	0.9218	0	0.00
2025/05/28	0.9216	0.9216	0.9216	0.9216	0	0.00
2025/05/29	0.9424	0.9424	0.9424	0.9424	0	0.00
2025/05/30	0.9382	0.9382	0.9382	0.9382	0	0.00
2025/06/03	0.9385	0.9385	0.9385	0.9385	0	0.00
2025/06/04	0.9457	0.9457	0.9457	0.9457	0	0.00
2025/06/05	0.9668	0.9668	0.9668	0.9668	0	0.00
2025/06/06	0.9676	0.9676	0.9676	0.9676	0	0.00
2025/06/09	0.9779	0.9779	0.9779	0.9779	0	0.00
2025/06/10	0.9673	0.9673	0.9673	0.9673	0	0.00
2025/06/11	0.9625	0.9625	0.9625	0.9625	0	0.00
2025/06/12	0.9645	0.9645	0.9645	0.9645	0	0.00
2025/06/13	0.9588	0.9588	0.9588	0.9588	0	0.00
2025/06/16	0.9674	0.9674	0.9674	0.9674	0	0.00
2025/06/17	0.9700	0.9700	0.9700	0.9700	0	0.00
2025/06/18	0.9757	0.9757	0.9757	0.9757	0	0.00
2025/06/19	0.9634	0.9634	0.9634	0.9634	0	0.00
2025/06/20	0.9508	0.9508	0.9508	0.9508	0	0.00
2025/06/23	0.9640	0.9640	0.9640	0.9640	0	0.00
2025/06/24	0.9781	0.9781	0.9781	0.9781	0	0.00
2025/06/25	1.0004	1.0004	1.0004	1.0004	0	0.00
2025/06/26	0.9967	0.9967	0.9967	0.9967	0	0.00
2025/06/27	1.0033	1.0033	1.0033	1.0033	0	0.00
2025/06/30	1.0308	1.0308	1.0308	1.0308	0	0.00
2025/07/01	1.0261	1.0261	1.0261	1.0261	0	0.00
2025/07/02	1.0056	1.0056	1.0056	1.0056	0	0.00
2025/07/03	1.0193	1.0193	1.0193	1.0193	0	0.00
2025/07/04	1.0029	1.0029	1.0029	1.0029	0	0.00
2025/07/07	0.9974	0.9974	0.9974	0.9974	0	0.00
2025/07/08	1.0112	1.0112	1.0112	1.0112	0	0.00
2025/07/09	1.0011	1.0011	1.0011	1.0011	0	0.00
2025/07/10	0.9978	0.9978	0.9978	0.9978	0	0.00
2025/07/11	0.9999	0.9999	0.9999	0.9999	0	0.00
2025/07/14	0.9953	0.9953	0.9953	0.9953	0	0.00
2025/07/15	0.9917	0.9917	0.9917	0.9917	0	0.00
2025/07/16	0.9937	0.9937	0.9937	0.9937	0	0.00
2025/07/17	1.0102	1.0102	1.0102	1.0102	0	0.00
2025/07/18	1.0069	1.0069	1.0069	1.0069	0	0.00
2025/07/21	1.0072	1.0072	1.0072	1.0072	0	0.00
2025/07/22	1.0043	1.0043	1.0043	1.0043	0	0.00
2025/07/23	1.0004	1.0004	1.0004	1.0004	0	0.00
2025/07/24	1.0141	1.0141	1.0141	1.0141	0	0.00
2025/07/25	1.0132	1.0132	1.0132	1.0132	0	0.00
2025/07/28	1.0260	1.0260	1.0260	1.0260	0	0.00
2025/07/29	1.0375	1.0375	1.0375	1.0375	0	0.00
2025/07/30	1.0297	1.0297	1.0297	1.0297	0	0.00
2025/07/31	1.0238	1.0238	1.0238	1.0238	0	0.00
2025/08/01	1.0186	1.0186	1.0186	1.0186	0	0.00
2025/08/04	1.0515	1.0515	1.0515	1.0515	0	0.00
2025/08/05	1.0671	1.0671	1.0671	1.0671	0	0.00
2025/08/06	1.0855	1.0855	1.0855	1.0855	0	0.00
2025/08/07	1.0913	1.0913	1.0913	1.0913	0	0.00
2025/08/08	1.0947	1.0947	1.0947	1.0947	0	0.00
2025/08/11	1.1048	1.1048	1.1048	1.1048	0	0.00
2025/08/12	1.0952	1.0952	1.0952	1.0952	0	0.00
2025/08/13	1.1076	1.1076	1.1076	1.1076	0	0.00
2025/08/14	1.0815	1.0815	1.0815	1.0815	0	0.00
2025/08/15	1.1011	1.1011	1.1011	1.1011	0	0.00
2025/08/18	1.1188	1.1188	1.1188	1.1188	0	0.00
2025/08/19	1.1181	1.1181	1.1181	1.1181	0	0.00
2025/08/20	1.1340	1.1340	1.1340	1.1340	0	0.00
2025/08/21	1.1216	1.1216	1.1216	1.1216	0	0.00
2025/08/22	1.1518	1.1518	1.1518	1.1518	0	0.00
2025/08/25	1.1915	1.1915	1.1915	1.1915	0	0.00
2025/08/26	1.1972	1.1972	1.1972	1.1972	0	0.00
2025/08/27	1.1789	1.1789	1.1789	1.1789	0	0.00
2025/08/28	1.2367	1.2367	1.2367	1.2367	0	0.00
2025/08/29	1.2337	1.2337	1.2337	1.2337	0	0.00
2025/09/01	1.2244	1.2244	1.2244	1.2244	0	0.00
2025/09/02	1.1720	1.1720	1.1720	1.1720	0	0.00
2025/09/03	1.1320	1.1320	1.1320	1.1320	0	0.00
2025/09/04	1.0855	1.0855	1.0855	1.0855	0	0.00
2025/09/05	1.1113	1.1113	1.1113	1.1113	0	0.00
2025/09/08	1.1417	1.1417	1.1417	1.1417	0	0.00
2025/09/09	1.1149	1.1149	1.1149	1.1149	0	0.00
2025/09/10	1.1276	1.1276	1.1276	1.1276	0	0.00
2025/09/11	1.1606	1.1606	1.1606	1.1606	0	0.00
2025/09/12	1.1585	1.1585	1.1585	1.1585	0	0.00
2025/09/15	1.1474	1.1474	1.1474	1.1474	0	0.00
2025/09/16	1.1647	1.1647	1.1647	1.1647	0	0.00
2025/09/17	1.1710	1.1710	1.1710	1.1710	0	0.00
2025/09/18	1.1640	1.1640	1.1640	1.1640	0	0.00
2025/09/19	1.1590	1.1590	1.1590	1.1590	0	0.00
2025/09/22	1.1718	1.1718	1.1718	1.1718	0	0.00
2025/09/23	1.1598	1.1598	1.1598	1.1598	0	0.00
2025/09/24	1.1791	1.1791	1.1791	1.1791	0	0.00
2025/09/25	1.1828	1.1828	1.1828	1.1828	0	0.00
2025/09/26	1.1653	1.1653	1.1653	1.1653	0	0.00
2025/09/29	1.1697	1.1697	1.1697	1.1697	0	0.00
2025/09/30	1.1935	1.1935	1.1935	1.1935	0	0.00
2025/10/09	1.2118	1.2118	1.2118	1.2118	0	0.00
2025/10/10	1.1809	1.1809	1.1809	1.1809	0	0.00
2025/10/13	1.1944	1.1944	1.1944	1.1944	0	0.00
2025/10/14	1.1631	1.1631	1.1631	1.1631	0	0.00
2025/10/15	1.1814	1.1814	1.1814	1.1814	0	0.00
2025/10/16	1.1617	1.1617	1.1617	1.1617	0	0.00
2025/10/17	1.1169	1.1169	1.1169	1.1169	0	0.00
2025/10/20	1.1353	1.1353	1.1353	1.1353	0	0.00
2025/10/21	1.1498	1.1498	1.1498	1.1498	0	0.00
2025/10/22	1.1358	1.1358	1.1358	1.1358	0	0.00
2025/10/23	1.1268	1.1268	1.1268	1.1268	0	0.00
2025/10/24	1.1655	1.1655	1.1655	1.1655	0	0.00
2025/10/27	1.1901	1.1901	1.1901	1.1901	0	0.00
2025/10/28	1.1969	1.1969	1.1969	1.1969	0	0.00
2025/10/29	1.2080	1.2080	1.2080	1.2080	0	0.00
2025/10/30	1.2037	1.2037	1.2037	1.2037	0	0.00
2025/10/31	1.1817	1.1817	1.1817	1.1817	0	0.00
2025/11/03	1.1957	1.1957	1.1957	1.1957	0	0.00
2025/11/04	1.1689	1.1689	1.1689	1.1689	0	0.00
2025/11/05	1.1633	1.1633	1.1633	1.1633	0	0.00
2025/11/06	1.1746	1.1746	1.1746	1.1746	0	0.00
2025/11/07	1.1852	1.1852	1.1852	1.1852	0	0.00
2025/11/10	1.1882	1.1882	1.1882	1.1882	0	0.00
2025/11/11	1.1724	1.1724	1.1724	1.1724	0	0.00
2025/11/12	1.1793	1.1793	1.1793	1.1793	0	0.00
2025/11/13	1.1869	1.1869	1.1869	1.1869	0	0.00
2025/11/14	1.1651	1.1651	1.1651	1.1651	0	0.00
2025/11/17	1.1770	1.1770	1.1770	1.1770	0	0.00
2025/11/18	1.1593	1.1593	1.1593	1.1593	0	0.00
2025/11/19	1.1530	1.1530	1.1530	1.1530	0	0.00
2025/11/20	1.1501	1.1501	1.1501	1.1501	0	0.00
2025/11/21	1.1079	1.1079	1.1079	1.1079	0	0.00
2025/11/24	1.1498	1.1498	1.1498	1.1498	0	0.00
2025/11/25	1.1676	1.1676	1.1676	1.1676	0	0.00
2025/11/26	1.1581	1.1581	1.1581	1.1581	0	0.00
2025/11/27	1.1648	1.1648	1.1648	1.1648	0	0.00
2025/11/28	1.1955	1.1955	1.1955	1.1955	0	0.00
2025/12/01	1.2297	1.2297	1.2297	1.2297	0	0.00
2025/12/02	1.2299	1.2299	1.2299	1.2299	0	0.00
2025/12/03	1.2088	1.2088	1.2088	1.2088	0	0.00
2025/12/04	1.2374	1.2374	1.2374	1.2374	0	0.00
2025/12/05	1.2870	1.2870	1.2870	1.2870	0	0.00
2025/12/08	1.3055	1.3055	1.3055	1.3055	0	0.00
2025/12/09	1.3103	1.3103	1.3103	1.3103	0	0.00
2025/12/10	1.3204	1.3204	1.3204	1.3204	0	0.00
2025/12/11	1.3331	1.3331	1.3331	1.3331	0	0.00
2025/12/12	1.3505	1.3505	1.3505	1.3505	0	0.00
2025/12/15	1.3771	1.3771	1.3771	1.3771	0	0.00
2025/12/16	1.3698	1.3698	1.3698	1.3698	0	0.00
2025/12/17	1.3615	1.3615	1.3615	1.3615	0	0.00
2025/12/18	1.4010	1.4010	1.4010	1.4010	0	0.00
2025/12/19	1.4220	1.4220	1.4220	1.4220	0	0.00
2025/12/22	1.4273	1.4273	1.4273	1.4273	0	0.00
2025/12/23	1.3703	1.3703	1.3703	1.3703	0	0.00
2025/12/24	1.4380	1.4380	1.4380	1.4380	0	0.00
2025/12/25	1.5366	1.5366	1.5366	1.5366	0	0.00
2025/12/26	1.5825	1.5825	1.5825	1.5825	0	0.00
2025/12/29	1.6020	1.6020	1.6020	1.6020	0	0.00
2025/12/30	1.5936	1.5936	1.5936	1.5936	0	0.00
2025/12/31	1.6779	1.6779	1.6779	1.6779	0	0.00
2026/01/06	1.7866	1.7866	1.7866	1.7866	0	0.00
2026/01/07	1.7733	1.7733	1.7733	1.7733	0	0.00
2026/01/08	1.8755	1.8755	1.8755	1.8755	0	0.00
2026/01/09	1.9934	1.9934	1.9934	1.9934	0	0.00
2026/01/12	2.2002	2.2002	2.2002	2.2002	0	0.00
2026/01/13	2.1067	2.1067	2.1067	2.1067	0	0.00
2026/01/14	2.1259	2.1259	2.1259	2.1259	0	0.00
2026/01/15	1.9824	1.9824	1.9824	1.9824	0	0.00
2026/01/16	1.9785	1.9785	1.9785	1.9785	0	0.00
2026/01/19	1.9813	1.9813	1.9813	1.9813	0	0.00
2026/01/20	1.8965	1.8965	1.8965	1.8965	0	0.00
2026/01/21	1.8739	1.8739	1.8739	1.8739	0	0.00
2026/01/22	1.9374	1.9374	1.9374	1.9374	0	0.00
2026/01/23	2.1275	2.1275	2.1275	2.1275	0	0.00
2026/01/26	1.9846	1.9846	1.9846	1.9846	0	0.00
2026/01/27	1.9997	1.9997	1.9997	1.9997	0	0.00
2026/01/28	1.9701	1.9701	1.9701	1.9701	0	0.00
2026/01/29	1.9269	1.9269	1.9269	1.9269	0	0.00
2026/01/30	1.8927	1.8927	1.8927	1.8927	0	0.00
2026/02/02	1.8532	1.8532	1.8532	1.8532	0	0.00
2026/02/03	1.9444	1.9444	1.9444	1.9444	0	0.00
2026/02/04	1.9020	1.9020	1.9020	1.9020	0	0.00
2026/02/05	1.8627	1.8627	1.8627	1.8627	0	0.00
2026/02/06	1.8354	1.8354	1.8354	1.8354	0	0.00
2026/02/09	1.8839	1.8839	1.8839	1.8839	0	0.00
2026/02/10	1.8480	1.8480	1.8480	1.8480	0	0.00
2026/02/11	1.8199	1.8199	1.8199	1.8199	0	0.00
2026/02/12	1.8137	1.8137	1.8137	1.8137	0	0.00
2026/02/13	1.7960	1.7960	1.7960	1.7960	0	0.00
2026/02/24	1.7820	1.7820	1.7820	1.7820	0	0.00
2026/02/25	1.8321	1.8321	1.8321	1.8321	0	0.00
2026/02/26	1.8594	1.8594	1.8594	1.8594	0	0.00
2026/02/27	1.8814	1.8814	1.8814	1.8814	0	0.00
2026/03/02	1.9319	1.9319	1.9319	1.9319	0	0.00
2026/03/03	1.7656	1.7656	1.7656	1.7656	0	0.00
2026/03/04	1.7792	1.7792	1.7792	1.7792	0	0.00
2026/03/05	1.8094	1.8094	1.8094	1.8094	0	0.00
2026/03/06	1.8055	1.8055	1.8055	1.8055	0	0.00
2026/03/09	1.7830	1.7830	1.7830	1.7830	0	0.00
2026/03/10	1.8205	1.8205	1.8205	1.8205	0	0.00
2026/03/11	1.7857	1.7857	1.7857	1.7857	0	0.00
2026/03/12	1.7501	1.7501	1.7501	1.7501	0	0.00
2026/03/13	1.6941	1.6941	1.6941	1.6941	0	0.00
2026/03/16	1.6910	1.6910	1.6910	1.6910	0	0.00
2026/03/17	1.6397	1.6397	1.6397	1.6397	0	0.00
2026/03/18	1.7167	1.7167	1.7167	1.7167	0	0.00
2026/03/19	1.6864	1.6864	1.6864	1.6864	0	0.00
2026/03/20	1.6516	1.6516	1.6516	1.6516	0	0.00
2026/03/23	1.5713	1.5713	1.5713	1.5713	0	0.00
2026/03/24	1.5924	1.5924	1.5924	1.5924	0	0.00
2026/03/25	1.6113	1.6113	1.6113	1.6113	0	0.00
2026/03/26	1.5959	1.5959	1.5959	1.5959	0	0.00
2026/03/27	1.5962	1.5962	1.5962	1.5962	0	0.00
2026/03/30	1.6373	1.6373	1.6373	1.6373	0	0.00
2026/03/31	1.6328	1.6328	1.6328	1.6328	0	0.00
2026/04/01	1.6313	1.6313	1.6313	1.6313	0	0.00
2026/04/02	1.5897	1.5897	1.5897	1.5897	0	0.00
2026/04/03	1.5766	1.5766	1.5766	1.5766	0	0.00
2026/04/07	1.5658	1.5658	1.5658	1.5658	0	0.00
2026/04/08	1.6708	1.6708	1.6708	1.6708	0	0.00
2026/04/09	1.6627	1.6627	1.6627	1.6627	0	0.00
2026/04/10	1.6680	1.6680	1.6680	1.6680	0	0.00
2026/04/13	1.6735	1.6735	1.6735	1.6735	0	0.00
2026/04/14	1.7470	1.7470	1.7470	1.7470	0	0.00
2026/04/15	1.7520	1.7520	1.7520	1.7520	0	0.00
2026/04/16	1.7773	1.7773	1.7773	1.7773	0	0.00
2026/04/17	1.8058	1.8058	1.8058	1.8058	0	0.00
2026/04/20	1.8872	1.8872	1.8872	1.8872	0	0.00
2026/04/21	1.8842	1.8842	1.8842	1.8842	0	0.00
2026/04/22	1.8883	1.8883	1.8883	1.8883	0	0.00
2026/04/23	1.8679	1.8679	1.8679	1.8679	0	0.00
2026/04/24	1.8058	1.8058	1.8058	1.8058	0	0.00
2026/04/27	1.8218	1.8218	1.8218	1.8218	0	0.00
2026/04/28	1.7849	1.7849	1.7849	1.7849	0	0.00
2026/04/29	1.7802	1.7802	1.7802	1.7802	0	0.00
2026/04/30	1.8403	1.8403	1.8403	1.8403	0	0.00
2026/05/06	1.9104	1.9104	1.9104	1.9104	0	0.00
2026/05/07	1.9273	1.9273	1.9273	1.9273	0	0.00
2026/05/08	1.9829	1.9829	1.9829	1.9829	0	0.00
2026/05/11	2.0273	2.0273	2.0273	2.0273	0	0.00
2026/05/12	1.9739	1.9739	1.9739	1.9739	0	0.00
2026/05/13	2.0021	2.0021	2.0021	2.0021	0	0.00
2026/05/14	1.8969	1.8969	1.8969	1.8969	0	0.00
2026/05/15	1.8380	1.8380	1.8380	1.8380	0	0.00
2026/05/18	1.8687	1.8687	1.8687	1.8687	0	0.00
2026/05/19	1.8436	1.8436	1.8436	1.8436	0	0.00
2026/05/20	1.8428	1.8428	1.8428	1.8428	0	0.00
2026/05/21	1.7723	1.7723	1.7723	1.7723	0	0.00
2026/05/22	1.8252	1.8252	1.8252	1.8252	0	0.00
2026/05/25	1.8538	1.8538	1.8538	1.8538	0	0.00
2026/05/26	1.7812	1.7812	1.7812	1.7812	0	0.00
2026/05/27	1.7492	1.7492	1.7492	1.7492	0	0.00
2026/05/28	1.7717	1.7717	1.7717	1.7717	0	0.00
2026/05/29	1.6408	1.6408	1.6408	1.6408	0	0.00
2026/06/01	1.5934	1.5934	1.5934	1.5934	0	0.00
2026/06/02	1.5998	1.5998	1.5998	1.5998	0	0.00
