163806 中银稳健增利 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2008/11/14	0.3118	0.3118	0.3118	0.3118	0	0.00
2008/11/17	0.3118	0.3118	0.3118	0.3118	0	0.00
2008/11/21	0.3138	0.3138	0.3138	0.3138	0	0.00
2008/11/28	0.3158	0.3158	0.3158	0.3158	0	0.00
2008/12/05	0.3188	0.3188	0.3188	0.3188	0	0.00
2008/12/12	0.3208	0.3208	0.3208	0.3208	0	0.00
2008/12/15	0.3208	0.3208	0.3208	0.3208	0	0.00
2008/12/16	0.3208	0.3208	0.3208	0.3208	0	0.00
2008/12/17	0.3218	0.3218	0.3218	0.3218	0	0.00
2008/12/18	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/19	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/22	0.3238	0.3238	0.3238	0.3238	0	0.00
2008/12/23	0.3238	0.3238	0.3238	0.3238	0	0.00
2008/12/24	0.3238	0.3238	0.3238	0.3238	0	0.00
2008/12/25	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/26	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/29	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/30	0.3228	0.3228	0.3228	0.3228	0	0.00
2008/12/31	0.3228	0.3228	0.3228	0.3228	0	0.00
2009/01/05	0.3238	0.3238	0.3238	0.3238	0	0.00
2009/01/06	0.3238	0.3238	0.3238	0.3238	0	0.00
2009/01/07	0.3248	0.3248	0.3248	0.3248	0	0.00
2009/01/08	0.3248	0.3248	0.3248	0.3248	0	0.00
2009/01/09	0.3248	0.3248	0.3248	0.3248	0	0.00
2009/01/12	0.3248	0.3248	0.3248	0.3248	0	0.00
2009/01/13	0.3238	0.3238	0.3238	0.3238	0	0.00
2009/01/14	0.3218	0.3218	0.3218	0.3218	0	0.00
2009/01/15	0.3198	0.3198	0.3198	0.3198	0	0.00
2009/01/16	0.3178	0.3178	0.3178	0.3178	0	0.00
2009/01/19	0.3168	0.3168	0.3168	0.3168	0	0.00
2009/01/20	0.3168	0.3168	0.3168	0.3168	0	0.00
2009/01/21	0.3158	0.3158	0.3158	0.3158	0	0.00
2009/01/22	0.3168	0.3168	0.3168	0.3168	0	0.00
2009/01/23	0.3168	0.3168	0.3168	0.3168	0	0.00
2009/02/02	0.3168	0.3168	0.3168	0.3168	0	0.00
2009/02/03	0.3158	0.3158	0.3158	0.3158	0	0.00
2009/02/04	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/05	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/06	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/09	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/10	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/11	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/12	0.3138	0.3138	0.3138	0.3138	0	0.00
2009/02/13	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/16	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/17	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/18	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/19	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/20	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/23	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/24	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/25	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/26	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/02/27	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/03/02	0.3148	0.3148	0.3148	0.3148	0	0.00
2009/03/03	0.3148	0.3148	0.3148	0.3148	0	0.00
