512690 酒ETF鹏华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/04/12	0.1481	0.1481	0.1481	0.1481	0	0.00
2019/04/19	0.1500	0.1500	0.1500	0.1500	0	0.00
2019/04/26	0.1456	0.1456	0.1456	0.1456	0	0.00
2019/04/30	0.1528	0.1528	0.1528	0.1528	0	0.00
2019/05/06	0.1142	0.1142	0.1142	0.1142	0	0.00
2019/05/07	0.1262	0.1262	0.1262	0.1262	0	0.00
2019/05/08	0.1262	0.1262	0.1262	0.1262	0	0.00
2019/05/09	0.1091	0.1091	0.1091	0.1091	0	0.00
2019/05/10	0.1332	0.1332	0.1332	0.1332	0	0.00
2019/05/13	0.1370	0.1370	0.1370	0.1370	0	0.00
2019/05/14	0.1321	0.1321	0.1321	0.1321	0	0.00
2019/05/15	0.1595	0.1595	0.1595	0.1595	0	0.00
2019/05/16	0.1665	0.1665	0.1665	0.1665	0	0.00
2019/05/17	0.1513	0.1513	0.1513	0.1513	0	0.00
2019/05/20	0.1391	0.1391	0.1391	0.1391	0	0.00
2019/05/21	0.1448	0.1448	0.1448	0.1448	0	0.00
2019/05/22	0.1399	0.1399	0.1399	0.1399	0	0.00
2019/05/23	0.1231	0.1231	0.1231	0.1231	0	0.00
2019/05/24	0.1292	0.1292	0.1292	0.1292	0	0.00
2019/05/27	0.1323	0.1323	0.1323	0.1323	0	0.00
2019/05/28	0.1362	0.1362	0.1362	0.1362	0	0.00
2019/05/29	0.1384	0.1384	0.1384	0.1384	0	0.00
2019/05/30	0.1355	0.1355	0.1355	0.1355	0	0.00
2019/05/31	0.1291	0.1291	0.1291	0.1291	0	0.00
2019/06/03	0.1251	0.1251	0.1251	0.1251	0	0.00
2019/06/04	0.1130	0.1130	0.1130	0.1130	0	0.00
2019/06/05	0.1128	0.1128	0.1128	0.1128	0	0.00
2019/06/06	0.1074	0.1074	0.1074	0.1074	0	0.00
2019/06/10	0.1160	0.1160	0.1160	0.1160	0	0.00
2019/06/11	0.1402	0.1402	0.1402	0.1402	0	0.00
2019/06/12	0.1348	0.1348	0.1348	0.1348	0	0.00
2019/06/13	0.1329	0.1329	0.1329	0.1329	0	0.00
2019/06/14	0.1275	0.1275	0.1275	0.1275	0	0.00
2019/06/17	0.1244	0.1244	0.1244	0.1244	0	0.00
2019/06/18	0.1244	0.1244	0.1244	0.1244	0	0.00
2019/06/19	0.1317	0.1317	0.1317	0.1317	0	0.00
2019/06/20	0.1525	0.1525	0.1525	0.1525	0	0.00
2019/06/21	0.1563	0.1563	0.1563	0.1563	0	0.00
2019/06/24	0.1649	0.1649	0.1649	0.1649	0	0.00
2019/06/25	0.1648	0.1648	0.1648	0.1648	0	0.00
2019/06/26	0.1631	0.1631	0.1631	0.1631	0	0.00
2019/06/27	0.1810	0.1810	0.1810	0.1810	0	0.00
2019/06/28	0.1828	0.1828	0.1828	0.1828	0	0.00
2019/06/30	0.1826	0.1826	0.1826	0.1826	0	0.00
2019/07/01	0.2069	0.2069	0.2069	0.2069	0	0.00
2019/07/02	0.2103	0.2103	0.2103	0.2103	0	0.00
2019/07/03	0.1993	0.1993	0.1993	0.1993	0	0.00
2019/07/04	0.1887	0.1887	0.1887	0.1887	0	0.00
2019/07/05	0.2026	0.2026	0.2026	0.2026	0	0.00
2019/07/08	0.1927	0.1927	0.1927	0.1927	0	0.00
2019/07/09	0.1964	0.1964	0.1964	0.1964	0	0.00
2019/07/10	0.1978	0.1978	0.1978	0.1978	0	0.00
2019/07/11	0.1919	0.1919	0.1919	0.1919	0	0.00
2019/07/12	0.1989	0.1989	0.1989	0.1989	0	0.00
2019/07/15	0.1942	0.1942	0.1942	0.1942	0	0.00
2019/07/16	0.1884	0.1884	0.1884	0.1884	0	0.00
2019/07/17	0.1856	0.1856	0.1856	0.1856	0	0.00
2019/07/18	0.1781	0.1781	0.1781	0.1781	0	0.00
2019/07/19	0.1820	0.1820	0.1820	0.1820	0	0.00
2019/07/22	0.1820	0.1820	0.1820	0.1820	0	0.00
2019/07/23	0.1730	0.1730	0.1730	0.1730	0	0.00
2019/07/24	0.1732	0.1732	0.1732	0.1732	0	0.00
2019/07/25	0.1783	0.1783	0.1783	0.1783	0	0.00
2019/07/26	0.1784	0.1784	0.1784	0.1784	0	0.00
2019/07/29	0.1834	0.1834	0.1834	0.1834	0	0.00
2019/07/30	0.1811	0.1811	0.1811	0.1811	0	0.00
2019/07/31	0.1728	0.1728	0.1728	0.1728	0	0.00
2019/08/01	0.1657	0.1657	0.1657	0.1657	0	0.00
2019/08/02	0.1617	0.1617	0.1617	0.1617	0	0.00
2019/08/05	0.1509	0.1509	0.1509	0.1509	0	0.00
2019/08/06	0.1561	0.1561	0.1561	0.1561	0	0.00
2019/08/07	0.1520	0.1520	0.1520	0.1520	0	0.00
2019/08/08	0.1617	0.1617	0.1617	0.1617	0	0.00
2019/08/09	0.1548	0.1548	0.1548	0.1548	0	0.00
2019/08/12	0.1681	0.1681	0.1681	0.1681	0	0.00
2019/08/13	0.1670	0.1670	0.1670	0.1670	0	0.00
